dateOfSleep,awakeCount,awakeDuration,awakeningsCount,duration,efficiency,isMainSleep,logId,minutesAfterWakeup,minutesAsleep,minutesAwake,minutesToFallAsleep,restlessCount,restlessDuration,startTime,timeInBed
2016-12-11,1,2,4,29640000,99,True,13198145736,0,489,5,0,3,3,2016-12-10T22:35:30.000,494
2016-12-10,0,0,8,26040000,95,True,13190828758,0,413,21,0,8,21,2016-12-09T23:59:00.000,434
2016-12-09,0,0,7,23640000,98,True,13187958640,0,385,9,0,7,9,2016-12-08T23:50:30.000,394
2016-12-08,1,1,8,25260000,97,True,13178275354,0,407,14,0,7,13,2016-12-07T23:10:00.000,421
2016-12-07,0,0,5,30360000,98,True,13169494070,0,496,10,0,5,10,2016-12-06T22:08:00.000,506
2016-12-06,2,5,9,29040000,97,True,13163425914,4,466,14,0,7,13,2016-12-05T22:02:00.000,484
2016-12-05,1,1,5,31200000,99,True,13153013158,0,513,7,0,4,6,2016-12-04T21:17:00.000,520
2016-12-04,0,0,4,23700000,98,True,13147060884,0,389,6,0,4,6,2016-12-04T00:24:30.000,395
2016-12-03,2,5,15,33300000,95,True,13140290216,6,521,28,0,13,29,2016-12-02T22:35:30.000,555
2016-12-02,0,0,0,24660000,100,True,13134692192,0,411,0,0,0,0,2016-12-01T23:42:00.000,411
2016-12-01,2,17,12,31860000,94,True,13125910983,0,500,31,0,10,14,2016-11-30T21:16:00.000,531
2016-11-30,0,0,1,19800000,99,True,13119003075,0,328,2,0,1,2,2016-11-30T00:26:00.000,330
2016-11-29,1,2,5,26520000,97,True,13111237486,1,429,12,0,4,11,2016-11-28T22:55:00.000,442
2016-11-28,1,3,10,31020000,97,True,13103928842,0,499,18,0,9,15,2016-11-27T21:32:00.000,517
2016-11-27,0,0,4,26580000,99,True,13096137748,0,439,4,0,4,4,2016-11-26T23:40:00.000,443
2016-11-26,1,1,15,31080000,96,True,13090165147,0,496,22,0,14,21,2016-11-25T22:32:00.000,518
2016-11-25,1,2,6,27120000,98,True,13081595639,2,439,11,0,5,11,2016-11-24T23:27:30.000,452
2016-11-24,2,3,12,34740000,96,True,13076905829,0,556,23,0,10,20,2016-11-23T22:29:00.000,579
2016-11-23,0,0,5,24780000,99,True,13072159346,1,407,5,0,5,6,2016-11-22T23:36:30.000,413
2016-11-22,1,3,8,26880000,97,True,13062094618,0,434,14,0,7,11,2016-11-21T22:44:00.000,448
2016-11-21,0,0,6,30600000,98,True,13052666846,0,498,12,0,6,12,2016-11-20T21:06:00.000,510
2016-11-20,0,0,2,28080000,99,True,13049825247,0,465,3,0,2,3,2016-11-19T23:43:00.000,468
2016-11-19,0,0,3,22800000,98,True,13049825246,0,374,6,0,3,6,2016-11-19T01:17:00.000,380
2016-11-18,0,0,2,20940000,99,True,13033712989,0,346,3,0,2,3,2016-11-18T00:24:30.000,349
2016-11-17,1,2,10,28740000,97,True,13026264943,2,463,14,0,9,14,2016-11-16T21:52:30.000,479
2016-11-16,0,0,2,26220000,99,True,13019052972,0,434,3,0,2,3,2016-11-15T23:30:00.000,437
2016-11-15,2,6,8,25260000,95,True,13010885720,0,399,22,0,6,16,2016-11-14T22:44:00.000,421
2016-11-14,0,0,10,27660000,97,True,13002758327,1,446,14,0,10,15,2016-11-13T22:24:00.000,461
2016-11-13,1,3,5,30420000,98,True,12996329622,0,496,11,0,4,8,2016-11-12T22:44:30.000,507
